M9694	M9727
M9698	CNV_M9728
GL	M9452
GL	M9453
GL	M9455
GL	M9459
GL	CNV_M9478
GL	CNV_M9606
GL	M9636
GL	M9655
GL	M9702
M9452	M9454
M9452	M9456
M9454	M9462
M9454	M9474
M9455	CNV_M9458
M9455	CNV_M9486
M9455	M9501
M9455	CNV_M9527
M9455	M9538
M9456	M9457
M9456	M9461
M9456	M9465
M9456	M9469
M9456	CNV_M9502
M9456	M9522
M9456	M9551
M9457	M9460
M9457	M9463
M9457	M9464
M9457	M9470
M9457	M9479
M9459	M9471
M9459	CNV_M9480
M9460	M9466
M9460	M9475
M9460	M9571
M9460	M9619
M9460	M9677
M9461	M9467
M9461	M9492
M9461	M9545
M9461	M9572
M9461	M9703
M9462	M9476
M9462	M9481
M9462	M9495
M9462	M9528
M9462	M9573
M9462	CNV_M9678
M9463	M9472
M9463	M9482
M9463	M9487
M9464	M9468
M9464	CNV_M9483
M9465	M9488
M9465	M9496
M9465	M9514
M9466	M9473
M9466	M9517
M9466	M9552
M9470	CNV_M9484
M9471	M9497
M9472	M9498
M9472	M9518
M9473	M9477
M9474	M9485
M9474	M9493
M9474	M9503
M9474	M9509
M9474	M9539
M9474	M9553
M9477	M9489
M9477	M9504
M9477	M9515
CNV_M9478	M9490
CNV_M9478	M9494
M9479	M9562
M9479	M9620
CNV_M9480	M9540
CNV_M9480	M9586
M9482	M9505
M9482	M9510
M9482	M9587
M9482	CNV_M9621
CNV_M9483	M9511
CNV_M9483	M9622
CNV_M9483	M9656
CNV_M9483	M9679
CNV_M9484	M9491
CNV_M9484	M9499
CNV_M9484	M9519
CNV_M9486	M9523
CNV_M9486	M9637
M9488	M9506
M9488	M9516
M9490	M9507
M9490	CNV_M9529
M9490	M9541
M9490	M9563
M9491	M9500
M9491	M9638
M9493	M9512
M9493	M9564
M9493	M9588
M9493	M9623
M9494	M9508
M9494	M9520
M9494	M9542
M9495	M9543
M9495	M9554
M9496	M9524
M9497	M9555
M9497	M9589
M9497	M9607
M9497	M9639
M9498	M9556
CNV_M9502	M9574
CNV_M9502	M9590
CNV_M9502	M9624
CNV_M9502	M9640
CNV_M9502	M9680
M9504	M9521
M9505	M9513
M9508	CNV_M9530
M9509	CNV_M9531
M9511	M9532
M9511	CNV_M9565
M9511	M9591
M9511	M9625
M9511	M9641
M9512	M9546
M9513	M9525
M9513	M9566
M9513	M9681
M9515	M9557
M9517	M9526
M9517	M9533
M9517	M9547
M9518	M9534
M9518	M9558
M9518	M9592
M9519	CNV_M9535
M9519	M9593
M9521	M9536
M9523	M9575
M9523	M9608
M9523	M9682
M9524	M9594
M9525	M9537
M9525	M9548
M9525	M9683
M9526	CNV_M9544
M9526	M9576
M9526	CNV_M9626
CNV_M9527	M9567
CNV_M9527	CNV_M9577
CNV_M9527	M9609
CNV_M9527	M9684
M9528	CNV_M9549
M9528	M9657
M9528	M9704
CNV_M9530	M9568
CNV_M9530	M9610
CNV_M9531	M9550
M9532	M9569
M9532	M9578
M9532	M9595
M9533	M9627
M9534	M9658
M9536	M9559
M9536	M9596
M9536	M9628
M9538	M9560
M9538	M9579
M9538	M9597
M9538	M9685
M9538	M9705
M9540	M9561
M9540	M9659
M9542	M9598
M9543	CNV_M9580
M9543	M9611
M9543	M9660
CNV_M9544	CNV_M9612
M9546	M9686
M9546	M9706
CNV_M9549	M9599
CNV_M9549	M9642
CNV_M9549	M9687
M9550	M9661
M9551	M9643
M9551	M9707
M9553	CNV_M9600
M9553	M9613
M9553	M9662
M9553	M9688
M9554	M9570
M9556	M9581
M9556	CNV_M9601
