M2806	M2843
M2808	M2844
M2808	M2905
M2811	M2906
M2812	M2845
M2813	M2907
CNV_M2817	M2908
M2818	M2872
M2819	CNV_M2873
M2820	M2909
M2821	M2910
M2822	M2911
M2824	M2874
CNV_M2825	M2875
M2826	M2876
M2838	CNV_M2877
M2845	M2912
M2847	CNV_M2913
M2848	M2914
M2852	M2915
M2869	M2916
GL	M2627
GL	M2631
GL	M2634
GL	M2637
GL	M2654
GL	CNV_M2662
GL	M2820
M2627	M2628
M2627	M2632
M2627	M2648
M2628	M2629
M2628	M2633
M2628	M2647
M2628	M2663
M2628	CNV_M2673
M2628	M2678
M2628	M2714
M2628	M2736
M2629	M2630
M2630	M2635
M2630	M2642
M2630	M2692
M2631	M2636
M2631	M2638
M2631	M2643
M2632	M2639
M2634	M2640
M2634	CNV_M2644
M2634	M2649
M2634	M2650
M2634	M2674
M2635	M2655
M2635	M2666
M2635	CNV_M2878
M2636	M2641
M2636	M2645
M2637	M2656
M2637	M2681
M2638	M2693
M2638	M2706
M2638	M2750
M2638	M2778
M2638	M2846
M2640	M2657
M2640	M2821
M2640	M2879
M2641	M2658
M2641	M2675
M2642	CNV_M2646
M2642	M2751
M2642	M2763
CNV_M2644	M2667
CNV_M2644	M2764
M2645	M2715
M2645	M2724
M2645	M2737
M2645	CNV_M2779
M2645	M2847
CNV_M2646	M2651
CNV_M2646	M2822
CNV_M2646	M2880
M2648	M2652
M2648	M2668
M2648	CNV_M2682
M2648	M2725
M2648	M2794
M2648	M2823
M2649	M2653
M2649	M2669
M2649	M2694
M2649	M2700
M2649	M2780
M2649	M2824
M2649	M2848
M2649	M2881
M2650	M2659
M2650	M2707
M2650	M2716
M2650	M2795
M2650	CNV_M2882
M2651	M2660
M2652	M2661
M2652	M2683
M2652	M2717
M2654	M2664
M2654	M2679
M2654	M2684
M2654	M2695
M2654	CNV_M2701
M2655	M2670
M2656	M2671
M2656	CNV_M2685
M2656	M2718
M2656	CNV_M2726
M2656	M2738
M2656	M2765
M2656	M2796
M2656	M2849
M2657	M2676
M2657	M2719
M2657	CNV_M2825
M2657	M2850
M2659	M2720
M2659	M2781
M2659	M2797
M2659	M2826
M2660	M2665
M2660	M2686
M2660	M2727
M2660	M2851
M2660	M2883
M2661	M2672
M2661	M2687
M2664	M2696
M2664	M2884
M2665	M2739
M2665	M2827
M2666	M2688
M2666	M2798
M2667	M2721
M2667	M2740
M2668	M2708
M2668	M2828
M2669	M2697
M2669	M2829
M2670	M2680
M2670	M2852
M2671	M2689
M2672	M2677
M2672	CNV_M2799
CNV_M2673	M2702
M2674	M2728
M2674	M2800
M2675	CNV_M2690
M2675	M2752
M2676	M2741
M2676	M2801
M2678	M2698
M2678	M2709
M2678	M2766
M2678	CNV_M2885
M2679	M2691
M2680	M2699
M2680	M2710
M2680	M2722
M2683	M2703
M2684	M2711
M2684	M2729
M2684	CNV_M2853
M2686	M2802
M2688	M2723
M2688	M2803
M2689	M2730
CNV_M2690	CNV_M2767
CNV_M2690	M2886
M2691	M2731
M2692	M2704
M2692	M2732
M2693	M2830
M2694	M2712
M2694	M2753
