M254	M271
M257	M274
M259	M275
M259	M311
M259	M333
M261	M348
CNV_M262	M283
CNV_M262	CNV_M312
CNV_M262	CNV_M379
M263	M284
M263	M313
M264	M303
M264	M314
M264	M334
M265	M304
M266	M276
M268	M315
M268	M335
M269	CNV_M305
M269	M336
M270	CNV_M277
M270	M285
M270	M337
M272	M286
M272	M306
M273	M287
M273	M349
M274	M288
M276	M289
CNV_M277	CNV_M296
M279	M297
M279	M380
M281	M338
M282	M298
M283	M350
M286	M364
CNV_M290	M323
CNV_M290	M351
CNV_M290	M381
M291	M324
M292	M316
M293	M317
M293	M382
M295	CNV_M339
M297	M325
M298	M340
M300	CNV_M341
M300	CNV_M365
M300	M398
M304	CNV_M352
CNV_M307	M326
CNV_M307	M353
CNV_M307	M383
M308	M354
M308	M366
M308	M399
M309	M342
CNV_M312	M327
M315	M343
M318	M400
M319	M367
M321	M344
M323	M355
M324	M384
M325	M345
M325	M356
M326	M357
M331	M368
M332	M358
M332	M385
M333	M401
M334	M359
M334	M386
M337	M360
M337	M369
M337	M387
M338	M388
M340	M361
M340	M389
M342	M370
M346	CNV_M371
M346	M390
M347	M402
M348	M403
M349	M372
M350	M373
M351	M374
M351	M404
M357	M405
M358	M391
M359	M375
M359	M392
M360	M376
M360	M393
M361	M377
M369	M406
CNV_M371	M407
M372	M394
M375	CNV_M408
M377	M409
M386	M410
M387	M411
GL	M199
GL	M200
GL	M204
GL	M211
GL	CNV_M242
GL	M250
GL	M328
M200	M201
M200	M202
M200	M205
M201	M206
M201	M215
M201	M218
M201	M224
M201	M246
M201	M278
M201	M299
M201	M318
M202	M203
M202	M210
M204	M207
M204	M212
M205	M209
M207	M208
M210	M213
M210	M216
M210	M220
M210	CNV_M225
M210	M229
M210	CNV_M290
M210	M319
M211	M219
M211	M226
M211	M230
M212	M251
M213	M214
M213	M217
M213	M223
M213	M227
M213	M231
M215	M236
M216	M228
M216	M237
M216	M252
M216	M329
M216	M346
M219	M221
M221	M222
M221	M247
M221	M253
M221	M260
M221	M330
M224	M232
M224	M291
M224	CNV_M307
CNV_M225	M233
CNV_M225	M261
CNV_M225	M266
CNV_M225	M300
CNV_M225	M308
CNV_M225	M347
CNV_M225	M378
CNV_M225	M395
M226	M238
M226	M292
M226	M331
M226	M362
M227	M234
M227	M243
M227	M320
M228	M235
M228	M239
M229	M244
M229	CNV_M262
M229	M267
M229	M321
M230	M245
M231	M240
M231	M248
M232	M254
M234	M241
M236	M255
M236	M279
M238	M396
M240	M256
M240	M263
M240	M280
M240	M293
M240	M332
M241	M301
M244	M249
M245	M294
M246	M257
M247	M258
M247	M264
M247	M268
M247	M309
M247	M363
M248	M259
M249	M281
M249	M322
M249	M397
M250	M272
M250	M295
M251	M273
M251	M282
M252	M265
M252	M269
M253	M270
M253	M302
M253	M310
null
M199: chr=6, pos=88526140, haplotype=0
M200: chr=8, pos=26907947, haplotype=1
M201: chr=16, pos=42078231, haplotype=0
M202: chr=13, pos=22997624, haplotype=0
M203: chr=18, pos=19258791, haplotype=1
M204: chr=6, pos=72363344, haplotype=1
M205: chr=2, pos=173952616, haplotype=0
M206: chr=14, pos=74489049, haplotype=1
M207: chr=15, pos=105620228, haplotype=1
M208: chr=20, pos=10496568, haplotype=0
M209: chr=21, pos=3280512, haplotype=0
M210: chr=7, pos=9450889, haplotype=0
M211: chr=6, pos=47576334, haplotype=1
M212: chr=1, pos=232563797, haplotype=0
M213: chr=3, pos=1425719, haplotype=0
M214: chr=9, pos=108478147, haplotype=0
M215: chr=2, pos=211198772, haplotype=0
M216: chr=15, pos=48721398, haplotype=1
M217: chr=22, pos=55785166, haplotype=1
M218: chr=4, pos=159738207, haplotype=1
M219: chr=13, pos=65266452, haplotype=1
M220: chr=7, pos=73524512, haplotype=1
M221: chr=8, pos=124171059, haplotype=1
M222: chr=9, pos=130757263, haplotype=0
M223: chr=3, pos=39976727, haplotype=1
M224: chr=3, pos=104160731, haplotype=0
CNV_M225: chr=23, arm=0, haplotype=1
M226: chr=20, pos=54619092, haplotype=0
M227: chr=14, pos=29423047, haplotype=0
M228: chr=3, pos=175143909, haplotype=0
M229: chr=10, pos=65248191, haplotype=0
M230: chr=9, pos=35934013, haplotype=1
M231: chr=16, pos=40130974, haplotype=1
M232: chr=1, pos=49611100, haplotype=0
M233: chr=2, pos=39835946, haplotype=1
M234: chr=9, pos=59336066, haplotype=0
M235: chr=7, pos=79531997, haplotype=1
M236: chr=19, pos=22976257, haplotype=1
M237: chr=6, pos=117680000, haplotype=0
M238: chr=5, pos=12643209, haplotype=0
M239: chr=3, pos=156260323, haplotype=1
M240: chr=3, pos=76509371, haplotype=1
