M10702	M10745
M10703	CNV_M10746
M10703	M10781
M10703	CNV_M10810
M10703	M11200
M10704	M10730
M10704	M10883
M10704	M10920
M10704	CNV_M10954
M10704	M10993
M10706	M10955
M10706	M11201
M10707	M10811
M10707	CNV_M10833
CNV_M10709	M10747
M10711	M10782
M10711	M10921
M10711	M10956
M10711	M10994
M10712	M10812
M10712	M10957
M10714	M10783
M10714	M10922
M10714	M11202
M10717	M10748
M10717	M10813
M10717	M10834
M10719	M10784
M10719	M10884
M10719	CNV_M10923
M10719	CNV_M10995
M10720	M10861
M10721	M10785
M10721	M10814
M10721	M10862
M10726	M10749
M10726	M10863
M10726	M10996
M10727	CNV_M10750
M10727	CNV_M10765
M10729	M11047
CNV_M10732	M10924
CNV_M10732	M10958
M10735	M10997
M10736	M10766
M10738	M10786
M10740	M10767
M10741	M10768
M10741	M10815
M10742	M10835
M10743	CNV_M10959
M10744	M10885
M10744	M10960
M10745	CNV_M10769
M10745	M10864
CNV_M10746	M10836
CNV_M10746	M10961
CNV_M10746	CNV_M11203
M10747	CNV_M10816
M10747	M10837
M10748	M10865
CNV_M10750	M10787
CNV_M10750	M10962
M10751	M10788
M10751	M10838
CNV_M10752	M10963
CNV_M10752	M11048
CNV_M10752	M11139
M10753	M10866
CNV_M10754	M10867
M10756	M10925
M10757	M10789
M10757	CNV_M10839
M10757	M11140
M10758	M10790
M10758	M10817
M10758	M10926
M10758	M11049
M10759	M10840
M10759	M10868
M10759	M11089
M10759	M11141
M10760	M10886
M10762	M10791
M10762	CNV_M10818
M10762	M10927
M10762	M11142
M10764	M11143
M10764	M11204
CNV_M10765	M11205
M10766	M10792
M10766	M10869
M10766	M10887
M10766	M10928
M10767	M10793
M10767	M10870
CNV_M10769	CNV_M10888
CNV_M10769	M11206
M10770	M10929
M10770	M11050
M10773	M10998
M10773	M11051
M10775	M10889
M10777	M10819
M10777	M10841
M10778	M10999
M10780	M10964
M10780	M11144
M10781	M10930
M10781	CNV_M11090
M10781	CNV_M11207
M10782	M10890
M10783	M10820
M10783	M10871
M10785	M10821
M10786	M10822
M10786	M10842
M10786	M10891
M10787	M10892
M10788	M10843
M10789	CNV_M10844
M10791	M10845
M10791	M10872
M10791	M10931
M10791	M11000
M10791	M11145
M10792	M10873
M10792	M10932
M10792	M11001
M10793	M10874
M10793	M10893
M10793	M10933
M10794	M11146
M10798	M10965
M10798	M11002
M10798	M11052
M10799	M11053
M10800	M10846
M10800	M11208
M10801	M10966
M10802	M11003
M10802	M11209
M10803	M10875
M10805	M10847
M10805	M11054
M10806	M10876
M10806	M11147
M10809	M10894
M10809	M11004
CNV_M10810	M11091
CNV_M10810	M11148
M10813	M10848
M10813	M10934
M10813	M10967
M10814	M10895
M10815	M10968
M10815	M11005
M10815	CNV_M11055
M10815	M11210
M10817	M10969
M10819	M11006
M10822	M10877
M10822	CNV_M11056
M10822	M11092
M10822	CNV_M11211
M10823	M10878
M10823	M10896
M10823	M11212
M10825	M10897
M10825	M11149
CNV_M10828	M10898
M10829	M11007
M10830	M11008
M10832	M11009
M10834	M10935
M10835	CNV_M11010
M10835	M11213
M10836	M10899
M10837	M10900
M10838	M10901
